dropoff_borough,avg(time_to_next_fare)
Manhattan,7409.407407407408
Brooklyn,16543.5
Queens,15296.75
Manhattan,3245.4545454545455
Queens,2940.0
Manhattan,2917.5
Manhattan,4381.875
Brooklyn,2580.0
Queens,3940.0
Manhattan,4503.75
Brooklyn,5960.0
Queens,3900.0
Bronx,3240.0
Manhattan,4065.0
Brooklyn,5580.0
Queens,5904.0
Bronx,3780.0
Manhattan,4957.5
Brooklyn,7680.0
Queens,5160.0
Manhattan,4500.0
Manhattan,3926.25
Brooklyn,13020.0
Queens,1410.0
Manhattan,4821.176470588235
Brooklyn,2280.0
Manhattan,7080.0
Manhattan,6660.0
Brooklyn,4356.0
Queens,2670.0
Manhattan,5760.0
Queens,6360.0
Bronx,180.0
Manhattan,7003.636363636364
Brooklyn,8280.0
Queens,10680.0
Manhattan,3930.0
Queens,328650.0
Manhattan,3660.0
Brooklyn,120.0
Queens,3000.0
Manhattan,1620.0
Manhattan,3052.5
Manhattan,1941.8181818181818
Manhattan,2345.0
Brooklyn,15300.0
Queens,10800.0
Manhattan,8475.0
Manhattan,15180.0
Queens,30060.0
Manhattan,3373.3333333333335
Queens,900.0
Manhattan,3309.230769230769
Queens,5700.0
Brooklyn,13500.0
Manhattan,1820.0
Manhattan,9334.285714285714
Manhattan,8300.0
Queens,10050.0
Manhattan,4184.0
Brooklyn,5820.0
Queens,1680.0
Manhattan,5707.5
Brooklyn,5070.0
Queens,3720.0
Manhattan,6628.0
Queens,7020.0
Brooklyn,7680.0
Manhattan,4935.0
Queens,26400.0
Bronx,7620.0
Manhattan,4578.0
Manhattan,5482.5
Manhattan,4095.0
Manhattan,2233.846153846154
Manhattan,8388.0
Queens,60.0
Manhattan,2845.2631578947367
Queens,21240.0
Manhattan,1512.0
Queens,4140.0
Manhattan,5600.0
Queens,2700.0
Manhattan,8842.105263157895
Queens,9000.0
Manhattan,5524.8
Bronx,1560.0
Manhattan,1333.3333333333333
Manhattan,4950.0
Manhattan,4170.0
Brooklyn,1830.0
Queens,5340.0
Manhattan,5929.565217391304
Brooklyn,8760.0
Queens,4590.0
Manhattan,4865.806451612903
Queens,9480.0
Manhattan,2424.705882352941
Queens,1320.0
Manhattan,528.75
Brooklyn,120.0
Manhattan,4372.5
Queens,2520.0
Manhattan,5473.846153846154
Brooklyn,8700.0
Manhattan,4627.058823529412
Manhattan,4770.0
Brooklyn,7500.0
Manhattan,5596.666666666667
Manhattan,6933.333333333333
Brooklyn,7860.0
Manhattan,5292.0
Manhattan,3792.8571428571427
Brooklyn,5760.0
Manhattan,4560.0
Manhattan,4221.818181818182
Queens,18840.0
Manhattan,5733.0
Brooklyn,780.0
Queens,17310.0
Manhattan,8870.0
Brooklyn,15540.0
Queens,8280.0
Manhattan,7080.0
Queens,14670.0
Manhattan,351.42857142857144
Bronx,960.0
Manhattan,4614.285714285715
Manhattan,2478.75
Brooklyn,1560.0
Queens,2640.0
Manhattan,1825.7142857142858
Manhattan,1910.0
Queens,2460.0
Manhattan,4863.0
Manhattan,5721.176470588235
Brooklyn,9180.0
Manhattan,8280.0
Queens,8010.0
Manhattan,7935.789473684211
Manhattan,8598.75
Brooklyn,6240.0
Manhattan,8611.764705882353
Brooklyn,19560.0
Queens,7920.0
Manhattan,8720.0
Brooklyn,14520.0
Queens,7240.0
Manhattan,8103.333333333333
Manhattan,3612.6315789473683
Queens,11460.0
Manhattan,5385.0
Queens,4560.0
Manhattan,5790.0
Queens,3720.0
Manhattan,5805.0
Manhattan,3589.4117647058824
Manhattan,3092.7272727272725
Brooklyn,13920.0
Manhattan,4125.0
Bronx,3720.0
Manhattan,12471.111111111111
Brooklyn,3300.0
Manhattan,4093.0434782608695
Manhattan,4000.0
Brooklyn,7980.0
Queens,10770.0
Manhattan,6556.666666666667
Bronx,10800.0
Manhattan,7760.0
Manhattan,9965.0
Queens,6420.0
Manhattan,8915.29411764706
Brooklyn,2940.0
Manhattan,7177.5
Brooklyn,2460.0
Queens,14220.0
Manhattan,7600.0
Queens,8400.0
Manhattan,10452.631578947368
Manhattan,4530.0
Manhattan,4183.636363636364
Brooklyn,3360.0
Manhattan,3147.2727272727275
Queens,3440.0
Manhattan,2917.1428571428573
Manhattan,3977.1428571428573
Brooklyn,60.0
Manhattan,8906.25
Brooklyn,3780.0
Queens,21300.0
Manhattan,6427.826086956522
Manhattan,3631.5789473684213
Manhattan,4578.461538461538
Manhattan,1656.923076923077
Manhattan,4040.0
Queens,13770.0
Manhattan,5420.869565217391
Queens,5760.0
Manhattan,6210.0
Brooklyn,10320.0
Queens,9120.0
Manhattan,5551.578947368421
Manhattan,5240.0
Queens,2640.0
Manhattan,3516.6666666666665
Queens,3780.0
Manhattan,1809.4736842105262
Manhattan,5700.0
Brooklyn,9900.0
Queens,18960.0
Manhattan,7428.75
Brooklyn,2280.0
Queens,2460.0
Manhattan,8146.666666666667
Manhattan,9156.0
Queens,10800.0
Manhattan,7825.714285714285
Manhattan,6180.0
Manhattan,6581.25
Queens,6180.0
Manhattan,1525.7142857142858
Queens,5520.0
Manhattan,4953.75
Brooklyn,9060.0
Manhattan,5796.0
Manhattan,4240.0
Manhattan,6700.0
Queens,2370.0
Manhattan,5100.0
Manhattan,5355.0
Manhattan,4662.0
Queens,10290.0
Manhattan,4425.0
Manhattan,5948.571428571428
Queens,9120.0
Manhattan,3368.5714285714284
Brooklyn,5640.0
Queens,16320.0
Manhattan,3156.521739130435
Queens,8100.0
Manhattan,2905.714285714286
Queens,1740.0
Manhattan,4050.0
Queens,4350.0
Manhattan,3771.4285714285716
Queens,6420.0
Manhattan,6312.857142857143
Manhattan,5747.142857142857
Manhattan,6562.5
Queens,15720.0
Manhattan,5914.285714285715
Queens,5760.0
Manhattan,8371.578947368422
Manhattan,4800.0
Queens,4560.0
Manhattan,4110.0
Brooklyn,4380.0
Queens,8460.0
Bronx,720.0
Manhattan,4052.0
Brooklyn,5460.0
Manhattan,4821.176470588235
Queens,10320.0
Manhattan,6840.0
Brooklyn,5220.0
Manhattan,3866.25
Queens,2100.0
Manhattan,1666.6666666666667
Brooklyn,540.0
Bronx,510.0
Manhattan,2448.0
Manhattan,3312.0
Brooklyn,120.0
Manhattan,2250.0
Queens,5160.0
Manhattan,3435.0
Brooklyn,4260.0
Manhattan,10090.0
Brooklyn,4110.0
Manhattan,6965.0
Manhattan,9102.857142857143
Brooklyn,12420.0
Queens,13320.0
Manhattan,8045.0
Queens,6180.0
Manhattan,3130.0
Queens,420.0
Manhattan,3852.0
Manhattan,3075.0
Manhattan,4171.578947368421
Brooklyn,4920.0
Queens,2040.0
Brooklyn,4680.0
Manhattan,4166.25
Queens,6180.0
Manhattan,4030.909090909091
Manhattan,2649.230769230769
Manhattan,4560.0
Manhattan,4803.529411764706
Brooklyn,4260.0
Queens,10260.0
Bronx,6720.0
Manhattan,4058.5714285714284
Queens,5280.0
Manhattan,3056.0
Brooklyn,6900.0
Manhattan,3049.090909090909
Manhattan,2764.285714285714
Brooklyn,4680.0
Manhattan,1466.25
Queens,4230.0
Manhattan,3484.0
Brooklyn,4560.0
Manhattan,3875.0
Queens,840.0
Manhattan,3435.0
Manhattan,4838.181818181818
Brooklyn,10560.0
Manhattan,2322.8571428571427
Brooklyn,1740.0
Manhattan,2810.769230769231
Manhattan,2469.230769230769
Brooklyn,3180.0
Manhattan,5434.736842105263
Brooklyn,5100.0
