window,pickup_borough,count
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,371
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,13
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Bronx,2
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,12
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,378
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,10
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,413
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,7
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,10
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,380
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,9
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,19
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,385
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,375
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,7
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,8
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Bronx,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,13
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,386
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,4
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,10
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,378
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,13
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,16
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,357
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,13
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,322
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,17
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,14
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,12
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,369
